dataset,task,algorithm,fold,metric,score,mean_score
analcatdata_boxing2,binary,GradientBoosting,1,accuracy,0.5925925925925926,0.7042735042735042
analcatdata_boxing2,binary,GradientBoosting,2,accuracy,0.6538461538461539,0.7042735042735042
analcatdata_boxing2,binary,GradientBoosting,3,accuracy,0.6923076923076923,0.7042735042735042
analcatdata_boxing2,binary,GradientBoosting,4,accuracy,0.7307692307692307,0.7042735042735042
analcatdata_boxing2,binary,SVM,0,accuracy,0.5925925925925926,0.6601139601139601
analcatdata_boxing2,binary,SVM,1,accuracy,0.5925925925925926,0.6601139601139601
analcatdata_boxing2,binary,SVM,2,accuracy,0.7307692307692307,0.6601139601139601
analcatdata_boxing2,binary,SVM,3,accuracy,0.6153846153846154,0.6601139601139601
analcatdata_boxing2,binary,SVM,4,accuracy,0.7692307692307693,0.6601139601139601
analcatdata_boxing2,binary,kNN,0,accuracy,0.6666666666666666,0.6977207977207976
analcatdata_boxing2,binary,kNN,1,accuracy,0.6296296296296297,0.6977207977207976
analcatdata_boxing2,binary,kNN,2,accuracy,0.7692307692307693,0.6977207977207976
analcatdata_boxing2,binary,kNN,3,accuracy,0.6923076923076923,0.6977207977207976
analcatdata_boxing2,binary,kNN,4,accuracy,0.7307692307692307,0.6977207977207976
analcatdata_boxing2,binary,NeuralNetwork,0,accuracy,0.6296296296296297,0.6980056980056981
analcatdata_boxing2,binary,NeuralNetwork,1,accuracy,0.6296296296296297,0.6980056980056981
analcatdata_boxing2,binary,NeuralNetwork,2,accuracy,0.6153846153846154,0.6980056980056981
analcatdata_boxing2,binary,NeuralNetwork,3,accuracy,0.8076923076923077,0.6980056980056981
analcatdata_boxing2,binary,NeuralNetwork,4,accuracy,0.8076923076923077,0.6980056980056981
analcatdata_creditscore,binary,RandomForest,0,accuracy,1.0,0.99
analcatdata_creditscore,binary,RandomForest,1,accuracy,0.95,0.99
analcatdata_creditscore,binary,RandomForest,2,accuracy,1.0,0.99
analcatdata_creditscore,binary,RandomForest,3,accuracy,1.0,0.99
analcatdata_creditscore,binary,RandomForest,4,accuracy,1.0,0.99
analcatdata_creditscore,binary,GradientBoosting,0,accuracy,1.0,0.97
analcatdata_creditscore,binary,GradientBoosting,1,accuracy,0.95,0.97
analcatdata_creditscore,binary,GradientBoosting,2,accuracy,1.0,0.97
analcatdata_creditscore,binary,GradientBoosting,3,accuracy,0.9,0.97
analcatdata_creditscore,binary,GradientBoosting,4,accuracy,1.0,0.97
analcatdata_creditscore,binary,SVM,0,accuracy,0.75,0.79
analcatdata_creditscore,binary,SVM,1,accuracy,0.75,0.79
analcatdata_creditscore,binary,SVM,2,accuracy,0.85,0.79
analcatdata_creditscore,binary,SVM,3,accuracy,0.9,0.79
analcatdata_creditscore,binary,SVM,4,accuracy,0.7,0.79
analcatdata_creditscore,binary,kNN,0,accuracy,0.9,0.8
analcatdata_creditscore,binary,kNN,1,accuracy,0.8,0.8
analcatdata_creditscore,binary,kNN,2,accuracy,0.85,0.8
analcatdata_creditscore,binary,kNN,3,accuracy,0.75,0.8
